total_nb_steps,cumulative_reward,loss
73,-110.0,9351.6845703125
74,-110.0,9351.6845703125
75,-15.199999999999932,9351.6845703125
76,79.60000000000014,9351.6845703125
77,88.00000000000011,9351.6845703125
78,96.40000000000009,9351.6845703125
79,18.40000000000009,9351.6845703125
80,-59.59999999999991,8751.375
81,-84.79999999999995,8751.375
82,-110.0,8751.375
83,-110.0,8751.375
84,-110.0,8751.375
85,-110.0,8751.375
86,-110.0,8751.375
87,-110.0,8751.375
88,-110.0,8751.375
89,-15.199999999999932,8751.375
90,79.60000000000014,8751.375
91,88.00000000000011,8751.375
92,96.40000000000009,8751.375
93,18.40000000000009,8751.375
94,-59.59999999999991,8751.375
95,-84.79999999999995,8751.375
96,-110.0,8751.375
97,-28.79999999999984,8751.375
98,52.40000000000032,8751.375
99,47.20000000000039,8751.375
100,42.000000000000455,7535.603515625
101,-33.99999999999977,7535.603515625
102,-110.0,7535.603515625
103,-83.20000000000016,7535.603515625
104,-56.40000000000032,7535.603515625
105,-83.20000000000016,7535.603515625
106,-110.0,7535.603515625
107,-62.80000000000007,7535.603515625
108,-15.600000000000136,7535.603515625
109,-54.800000000000296,7535.603515625
110,-94.00000000000045,7535.603515625
111,-102.00000000000023,7535.603515625
112,-110.0,7535.603515625
113,-110.0,7535.603515625
114,-110.0,7535.603515625
115,-110.0,7535.603515625
116,-110.0,7535.603515625
117,-110.0,7535.603515625
118,-110.0,7535.603515625
119,-110.0,7535.603515625
120,-110.0,9409.291015625
121,-110.0,9409.291015625
122,-110.0,9409.291015625
123,-15.199999999999932,9409.291015625
124,79.60000000000014,9409.291015625
125,88.00000000000011,9409.291015625
126,96.40000000000009,9409.291015625
127,18.40000000000009,9409.291015625
128,-59.59999999999991,9409.291015625
129,-84.79999999999995,9409.291015625
130,-110.0,9409.291015625
131,-110.0,9409.291015625
132,-110.0,9409.291015625
133,-110.0,9409.291015625
134,-110.0,9409.291015625
135,-110.0,9409.291015625
136,-110.0,9409.291015625
137,-110.0,9409.291015625
138,-110.0,9409.291015625
139,-110.0,9409.291015625
140,-110.0,5774.36376953125
141,-110.0,5774.36376953125
142,-110.0,5774.36376953125
143,-110.0,5774.36376953125
144,-110.0,5774.36376953125
145,-110.0,5774.36376953125
146,-110.0,5774.36376953125
147,-110.0,5774.36376953125
148,-110.0,5774.36376953125
149,-110.0,5774.36376953125
150,-110.0,5774.36376953125
151,-110.0,5774.36376953125
152,-110.0,5774.36376953125
153,-110.0,5774.36376953125
154,-110.0,5774.36376953125
155,-110.0,5774.36376953125
156,-110.0,5774.36376953125
157,-110.0,5774.36376953125
158,-110.0,5774.36376953125
159,-15.199999999999932,5774.36376953125
160,79.60000000000014,7095.68017578125
161,88.00000000000011,7095.68017578125
162,96.40000000000009,7095.68017578125
163,18.40000000000009,7095.68017578125
164,-59.59999999999991,7095.68017578125
165,-84.79999999999995,7095.68017578125
166,-110.0,7095.68017578125
167,-110.0,7095.68017578125
168,-110.0,7095.68017578125
169,-110.0,7095.68017578125
170,-110.0,7095.68017578125
171,-110.0,7095.68017578125
172,-110.0,7095.68017578125
173,-110.0,7095.68017578125
174,-110.0,7095.68017578125
175,-110.0,7095.68017578125
176,-110.0,7095.68017578125
177,-110.0,7095.68017578125
178,-110.0,7095.68017578125
179,-110.0,7095.68017578125
180,-110.0,5099.40966796875
181,-110.0,5099.40966796875
182,-110.0,5099.40966796875
183,-110.0,5099.40966796875
184,-110.0,5099.40966796875
